"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"","The Crab Stop","","","","","","","","","",""
"","Linda's La Cantina Steak House-","","","","http://www.lindaslacantinasteakhouse.com","","","","","",""
"","Little Saigon Restaurant Inc","","","","http://www.littlesaigonorlando.com","","","","","",""
"","El Palacio Restaurant","","","","","","","","","",""
"","Flippers Pizzeria","","","","","","","","","",""
"","Smokey Bones Bar & Fire Grill","","","","http://www.smokeybones.com","","","","","",""
"","Giordano's","","","","https://giordanos.com/location/lake-buena-vista-disney-area","","","","","",""
"","Westgate Smokehouse Grill","","","","http://www.westgateresorts.com","","","","","",""
"","Chatham's Place Restaurant","","","","","","","","","",""
"","Logan's Roadhouse","","","","http://www.logansroadhouse.com","","","","","",""
"","Bonefish Grill","","","","http://www.bonefishgrill.com","","","","","",""
"","Agave Azul","","","","http://www.agaveazulorlando.com","","","","","",""
"","Golden Corral Restaurants","","","","http://www.goldencorral.com","","","","","",""
"","O'Charley's","","","","http://www.ocharleys.com","","","","","",""
"","J. Alexander's","","","","http://www.jalexanders.com","","","","","",""
"","Nine 18","","","","http://www.grandcypress.com/dining/nine_18","","","","","",""
"","Urban Flats","","","","","","","","","",""
"","Tony Roma's","","","","https://locations.tonyromas.com/united-states/fl/orlando/8560-international-dr","","","","","",""
"","Ruth's Chris Steak House","","","","http://www.ruthschris.com","","","","","",""
"","Houlihan's","","","","http://www.houlihans.com","","","","","",""
"","Kres Chophouse","","","","http://www.kreschophouse.com","","","","","",""
"","Cariera's Cucina Italiana","","","","http://carieras.com","","","","","",""
"","Winghouse of Kirkman Rd","","","","http://www.winghouse.com","","","","","",""
"","Baldwin Steak House","","","","http://jacksorlando.com","","","","","",""
"","Lone Star Steakhouse","","","","http://www.lonestarsteakhouse.com","","","","","",""
"","Ciao Italia Ristorante","","","","http://www.ciaoitaliaonline.com","","","","","",""
"","Emeril's Tchoup Chop","","","","http://emerils.com","","","","","",""
"","Tu Casa Restaurant","","","","http://www.tucasarestaurant-orlando.com","","","","","",""
"","Miller's Ale House - Orlando Florida Mall","","","","https://millersalehouse.com/locations/orlando-florida-mall","","","","","",""
"","Sweet Mamas Restaurant","","","","http://www.sweetmamasrestaurant.com","","","","","",""
